nohup: ignoring input
 * Running on http://0.0.0.0:6400/ (Press CTRL+C to quit)
--- Logging error ---
Traceback (most recent call last):
  File "/usr/lib/python3.5/logging/__init__.py", line 984, in emit
    self.flush()
  File "/usr/lib/python3.5/logging/__init__.py", line 964, in flush
    self.stream.flush()
PermissionError: [Errno 13] Permission denied
Call stack:
  File "nlpserver.py", line 194, in <module>
    data['newspaper']['text'] = article.text
  File "/home/vagrant/.local/lib/python3.5/site-packages/flask/app.py", line 841, in run
    run_simple(host, port, self, **options)
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/serving.py", line 814, in run_simple
    inner()
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/serving.py", line 777, in inner
    srv.serve_forever()
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/serving.py", line 612, in serve_forever
    HTTPServer.serve_forever(self)
  File "/usr/lib/python3.5/socketserver.py", line 234, in serve_forever
    self._handle_request_noblock()
  File "/usr/lib/python3.5/socketserver.py", line 313, in _handle_request_noblock
    self.process_request(request, client_address)
  File "/usr/lib/python3.5/socketserver.py", line 341, in process_request
    self.finish_request(request, client_address)
  File "/usr/lib/python3.5/socketserver.py", line 354, in finish_request
    self.RequestHandlerClass(request, client_address, self)
  File "/usr/lib/python3.5/socketserver.py", line 681, in __init__
    self.handle()
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/serving.py", line 293, in handle
    rv = BaseHTTPRequestHandler.handle(self)
  File "/usr/lib/python3.5/http/server.py", line 422, in handle
    self.handle_one_request()
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/serving.py", line 328, in handle_one_request
    return self.run_wsgi()
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/serving.py", line 270, in run_wsgi
    execute(self.server.app)
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/serving.py", line 261, in execute
    write(data)
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/serving.py", line 224, in write
    self.send_response(code, msg)
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/serving.py", line 332, in send_response
    self.log_request(code)
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/serving.py", line 373, in log_request
    self.log('info', '"%s" %s %s', msg, code, size)
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/serving.py", line 384, in log
    message % args))
  File "/home/vagrant/.local/lib/python3.5/site-packages/werkzeug/_internal.py", line 88, in _log
    getattr(_logger, type)(message.rstrip(), *args, **kwargs)
Message: '127.0.0.1 - - [10/Apr/2018 12:46:03] "GET / HTTP/1.0" 200 -'
Arguments: ()
127.0.0.1 - - [10/Apr/2018 12:46:03] "POST /polyglot HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:04] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:06] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:06] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:06] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:06] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:06] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:06] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:06] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:06] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:06] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:07] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:08] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:09] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:10] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:11] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:12] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:13] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:14] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:14] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:14] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:14] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:14] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:14] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:14] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:14] "POST /polyglot HTTP/1.0" 400 -
127.0.0.1 - - [10/Apr/2018 12:46:14] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:15] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:15] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:16] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:16] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:16] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:16] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:17] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:17] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:17] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:17] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:18] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:18] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:19] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:19] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:19] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:19] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:20] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:20] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:20] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:20] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:21] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:21] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:22] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:22] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:22] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:22] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:23] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:23] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:23] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:23] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:24] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:24] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:25] "GET / HTTP/1.0" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:25] "GET /language HTTP/1.1" 200 -
127.0.0.1 - - [10/Apr/2018 12:46:25] "GET / HTTP/1.0" 200 -
